category,text
감각적 욕망,"비구들이여, 어떤 것이 감각적 욕망에서 벗어남인가? 비구들이여, 감각적 욕망에 대하여 욕탐을 제어하고, 욕탐을 버리는 것이 감각적 욕망에서 벗어남이라오."
감각적 욕망,"‘감각적 욕망은 맛없고, 괴로움이 많고, 고난이 많다. 여기에는 재난이 많다’라고, 바른 통찰지로 있는 그대로 잘 통찰한다고 할지라도, 감각적 욕망과 불선법(不善法)에서 벗어난 기쁨과 즐거움이나 그보다 더 평온한 다른 기쁨과 즐거움을 성취하지 못하는 한, 그는 결코 감각적 욕망의 유혹에서 벗어나지 못한다."
감각적 욕망,장애가 제거된 평온한 상태를 마치 '빚을 다 갚은 자유로움'처럼 여깁니다.
감각적 욕망,"내면에 감각적 욕망이 일어났을 때 ""내게 욕망이 있다""고 명확히 알아차립니다."
감각적 욕망,"내면에 감각적 욕망이 없을 때 ""내게 욕망이 없다""고 명확히 알아차립니다."
감각적 욕망,세상의 즐겁고 기분 좋은 대상들을 접할 때 거기서 갈애가 일어남을 관찰합니다.
감각적 욕망,욕망이 일어나는 조건과 그것이 사라지는 과정을 있는 그대로 꿰뚫어 봅니다.
감각적 욕망,이미 사라진 욕망이 다시 일어남이 없도록 마음의 상태를 유지합니다.
감각적 욕망,감각적 욕망이 마음을 덮고 있는 상태를 마치 '빚을 진 상태'와 같다고 반조합니다.
감각적 욕망,해로운 생각이 떠오르면 즉시 유익한 대상으로 마음을 돌려 기울입니다.
감각적 욕망,욕망의 위험을 관찰하고 그 원인을 가라앉혀 마음의 평온을 찾습니다.
감각적 욕망,강한 의지력으로 해로운 마음을 제압하여 선한 마음을 회복합니다.
무아,"라훌라야, ‘과거, 미래, 현재의 몸의 형색[色]은, 그것이 어떤 것이든, 안에 있는 것이든 밖에 있는 것이든, 거친 것이든 미세한 것이든, 보잘것없는 것이든 훌륭한 것이든, 멀리 있는 것이, 가까이 있는 것이든, 일체의 몸의 형색은 나의 소유가 아니고, 내가 아니고, 나의 자아(自我)가 아니다’라고 이와 같이 바른 통찰지(通察智)로 있는 그대로 보아야 한다"
연기법,"보는 주관과 보이는 형색들을 의지하여 시각분별이 생깁니다. 셋의 만남이 접촉입니다. 접촉을 의지하여 느낌이 있으며, 느낀 것을 개념적으로 인식하고, 개념적으로 인식한 것을 추론하고, 추론한 것을 허상화하며, 허상화하기 때문에, 과거, 미래, 현재의 보는 주관에 의해서 지각되는 형색들에 대한 허상과 개념과 정의가 사람을 공격합니다."
무상,무상고 무아
삼법인,무상 고 무아
테스트1,ㅂ111
테스트2,ㅂ222
